label,statement,cleaned_statement,label_encoded,binary_label
mostly-true,"Every month, another 50,000 U.S.-born Hispanics turn 18 and become eligible to vote.",every month another  usborn hispanics turn  and become eligible to vote,3,1
false,The health bill's plan for comparative effectiveness research would be used by the government to ration care.,the health bills plan for comparative effectiveness research would be used by the government to ration care,1,0
mostly-true,We supported the first new nuclear power plant in three decades.,we supported the first new nuclear power plant in three decades,3,1
true,"Under Gov. Kasich, Ohio wages have increased by $10.3 billion.",under gov kasich ohio wages have increased by  billion,5,1
false,"New carbon regulations will increase electric bills by $17 billion every year and potentially put an average of 224,000 more people out of work every year.",new carbon regulations will increase electric bills by  billion every year and potentially put an average of  more people out of work every year,1,0
false,Qataris dont really work.,qataris dont really work,1,0
true,"New Jersey has the highest property taxes in the nation and not by a little. They are the highest property taxes in the nation, more than double the national average.",new jersey has the highest property taxes in the nation and not by a little they are the highest property taxes in the nation more than double the national average,5,1
pants-fire,"New tax increases that went into effect on Jan.1, 2015, all passed under the Affordable Care Act, aka Obamacare.",new tax increases that went into effect on jan  all passed under the affordable care act aka obamacare,4,0
true,"We were one of the first states in the U.S. to build sewers, to bring the treatment plant on line.",we were one of the first states in the us to build sewers to bring the treatment plant on line,5,1
half-true,PolitiFact Texas gave a David Dewhurst TV ad a Pants-on-Fire rating as an outrageous lie.,politifact texas gave a david dewhurst tv ad a pantsonfire rating as an outrageous lie,2,1
false,"Just on the issue of immigration alone, it is next to impossible to find a policy difference between (Donald) Trump and Congressman (Joe) Heck.",just on the issue of immigration alone it is next to impossible to find a policy difference between donald trump and congressman joe heck,1,0
mostly-true,Says Rob Portman said the auto rescue was a lousy deal for Ohio.,says rob portman said the auto rescue was a lousy deal for ohio,3,1
mostly-true,I've always said it's (offshore drilling) up to the states and I still say that.,ive always said its offshore drilling up to the states and i still say that,3,1
half-true,Smog was invented in Los Angeles. It was. The name was invented. There was a fellow at Caltech and he came up with the idea and they called it smog.,smog was invented in los angeles it was the name was invented there was a fellow at caltech and he came up with the idea and they called it smog,2,1
false,Says property insurance rates are going up because Rick Scott signed a bill preventing the state from regulating insurance.,says property insurance rates are going up because rick scott signed a bill preventing the state from regulating insurance,1,0
mostly-true,"$500 billion of the extension of the Bush tax cuts for the wealthy goes to 120,000 families.",billion of the extension of the bush tax cuts for the wealthy goes to  families,3,1
true,"John McCain ""said publicly that Hillary Clinton would make a good president.""",john mccain said publicly that hillary clinton would make a good president,5,1
barely-true,Says Michelle Nunn is for amnesty.,says michelle nunn is for amnesty,0,0
mostly-true,"The federal government only ordered BP to pay ""to do one of those six segments"" of sand barriers for Louisiana.",the federal government only ordered bp to pay to do one of those six segments of sand barriers for louisiana,3,1
mostly-true,The recently passed transportation funding bill is a billion-dollar tax increase for Georgians.,the recently passed transportation funding bill is a billiondollar tax increase for georgians,3,1
pants-fire,Austin is effectively imposing a ban on barbecue restaurants.,austin is effectively imposing a ban on barbecue restaurants,4,0
false,Ron Klein sponsored an amendment that specifically allows price gouging.,ron klein sponsored an amendment that specifically allows price gouging,1,0
barely-true,Female students at UVA have a 20 percent chance of being sexually assaulted.,female students at uva have a  percent chance of being sexually assaulted,0,0
true,"We reduced the government workforce by 13,000, 11 percent, during my eight years.",we reduced the government workforce by   percent during my eight years,5,1
barely-true,Federal law requires that hospitals treat people whether or not they can pay. So someone (who) doesnt have health insurance -- they can go to the hospital and get free care.,federal law requires that hospitals treat people whether or not they can pay so someone who doesnt have health insurance  they can go to the hospital and get free care,0,0
half-true,380 Americans have been killed in 294 mass shootings in 2015 alone.,americans have been killed in  mass shootings in  alone,2,1
half-true,Atlanta Tea Party co-founder Debbie Dooley wants gas taxes raised.,atlanta tea party cofounder debbie dooley wants gas taxes raised,2,1
false,China owns more of our bonds than do Americans.,china owns more of our bonds than do americans,1,0
barely-true,"NAFTA allows a lot of trucks from Mexico, for example, to leave there and ... drive straight through without even being inspected.",nafta allows a lot of trucks from mexico for example to leave there and  drive straight through without even being inspected,0,0
pants-fire,"Under the new health care law, the first person (a) patient has to go to is a bureaucrat. That is called a panel.",under the new health care law the first person a patient has to go to is a bureaucrat that is called a panel,4,0
half-true,"As a result of welfare reform, poverty levels went down to the lowest level ever for ... African-American children.",as a result of welfare reform poverty levels went down to the lowest level ever for  africanamerican children,2,1
pants-fire,Wisconsin wages are declining at double the rate of other states.,wisconsin wages are declining at double the rate of other states,4,0
barely-true,Says Barack Obama said black males are two times more likely to be shot by a law enforcement officer than white males and that is a lie because there is no data.,says barack obama said black males are two times more likely to be shot by a law enforcement officer than white males and that is a lie because there is no data,0,0
barely-true,I said no to higher taxes and fees.,i said no to higher taxes and fees,0,0
true,Governor Palin is the most popular governor in the country.,governor palin is the most popular governor in the country,5,1
false,I'm pro-life. He's not.,im prolife hes not,1,0
half-true,John Mica's brother is an oil lobbyist and his daughter represents the natural gas industry.,john micas brother is an oil lobbyist and his daughter represents the natural gas industry,2,1
barely-true,"Last year, there were an additional 81,000 pages of government regulations. If you stack that up, it would be a three-story building.",last year there were an additional  pages of government regulations if you stack that up it would be a threestory building,0,0
barely-true,The largest number of gamblers are from the poorest segments of the population.,the largest number of gamblers are from the poorest segments of the population,0,0
mostly-true,Says Gov. Rick Scott cut state funding for PBS.,says gov rick scott cut state funding for pbs,3,1
half-true,Attorney General Eric Holders own Justice Department precleared the voting changes in the 2011 law about early voting in Florida.,attorney general eric holders own justice department precleared the voting changes in the  law about early voting in florida,2,1
half-true,"The city of Nelson, Ga., is quieter than Mayberry.",the city of nelson ga is quieter than mayberry,2,1
half-true,"Says Chris Christie fired 6,000 teachers.",says chris christie fired  teachers,2,1
half-true,"Currently, it takes up to 25 years to obtain U.S. citizenship legally but the Senate bill would allow immigrants who came to the United States illegally to obtain citizenship in just 13 years.",currently it takes up to  years to obtain us citizenship legally but the senate bill would allow immigrants who came to the united states illegally to obtain citizenship in just  years,2,1
half-true,"Homeopathy, acupuncture and aromatherapy have been given elevated legitimacy under the Affordable Care Act.",homeopathy acupuncture and aromatherapy have been given elevated legitimacy under the affordable care act,2,1
half-true,Says Will Hurd cosponsored a bill that would militarize our border and allow 200 miles of new roads to be built in the Big Bend region -- cutting up our beloved park.,says will hurd cosponsored a bill that would militarize our border and allow  miles of new roads to be built in the big bend region  cutting up our beloved park,2,1
barely-true,Attorney general candidate Brad Schimel is in cahoots with Wisconsin Right to Life to make abortion a crime in Wisconsin.,attorney general candidate brad schimel is in cahoots with wisconsin right to life to make abortion a crime in wisconsin,0,0
false,The founders of New Hampshire came up with the motto Live Free or Die.,the founders of new hampshire came up with the motto live free or die,1,0
true,Economic Development Commission Executive Director Keith Stokes sent me a letter and he said the taxpayers will never be on the hook for these bonds for 38 Studios.,economic development commission executive director keith stokes sent me a letter and he said the taxpayers will never be on the hook for these bonds for  studios,5,1
true,"Bill McCollum explained his lack of action on mortgage fraud by saying, ""You can't do everything.""",bill mccollum explained his lack of action on mortgage fraud by saying you cant do everything,5,1
mostly-true,The United States is behind many countries in Europe in terms of the ability of every kid in America to get ahead.,the united states is behind many countries in europe in terms of the ability of every kid in america to get ahead,3,1
true,"The Alternative Minimum Tax...was created by Congress in 1969 to affect 155 wealthy Americans. Because it was never indexed for inflation, those original 155 taxpayers has increased to affect about 3.5-million in 2006.",the alternative minimum taxwas created by congress in  to affect  wealthy americans because it was never indexed for inflation those original  taxpayers has increased to affect about million in,5,1
half-true,Says we are overcharging students . . . to help pay for the health care law.,says we are overcharging students    to help pay for the health care law,2,1
half-true,Says Ellen Rosenblum has said over and over again that this is a job where 80 percent of the job is being the governments lawyer.,says ellen rosenblum has said over and over again that this is a job where  percent of the job is being the governments lawyer,2,1
mostly-true,"New Jersey has lost over half of our pharmaceutical jobs to states you know, not low-tax states like in the South, but high-tax states like New York.",new jersey has lost over half of our pharmaceutical jobs to states you know not lowtax states like in the south but hightax states like new york,3,1
true,"If the space-shuttle program is terminated, Russia and China will be the only nations ...with the capability to launch humans into space.",if the spaceshuttle program is terminated russia and china will be the only nations with the capability to launch humans into space,5,1
barely-true,The Super Bowl has one of the highest levels of human sex trafficking activity of any event in the country.,the super bowl has one of the highest levels of human sex trafficking activity of any event in the country,0,0
mostly-true,Says the reforms in state Issue 2 will save taxpayer dollars,says the reforms in state issue  will save taxpayer dollars,3,1
barely-true,Says Scott Walker said he wouldnt touch the state civil service system but now supports overhauling it.,says scott walker said he wouldnt touch the state civil service system but now supports overhauling it,0,0
false,"Says she couldn't take stimulus money because it required ""universal building codes.""",says she couldnt take stimulus money because it required universal building codes,1,0
mostly-true,Senate Democrats have never held up a Supreme Court nomination.,senate democrats have never held up a supreme court nomination,3,1
true,Almost 10 percent of Canadians came to visit Florida last year ... (Canadians) buy 7.4 percent of our homes in the state.,almost  percent of canadians came to visit florida last year  canadians buy  percent of our homes in the state,5,1
barely-true,"Regarding the Iraq War, I was the one that said, Dont go, dont do it, youre going to destabilize the Middle East.",regarding the iraq war i was the one that said dont go dont do it youre going to destabilize the middle east,0,0
false,The Iran deal trusts the Iranians to inspect themselves.,the iran deal trusts the iranians to inspect themselves,1,0
half-true,More than three-quarters of the oil is gone.,more than threequarters of the oil is gone,2,1
pants-fire,Were the only nation in the world that does not use the military to secure our border.,were the only nation in the world that does not use the military to secure our border,4,0
barely-true,We have more natural gas in this country than Saudi Arabia has oil.,we have more natural gas in this country than saudi arabia has oil,0,0
barely-true,Massachusetts is reporting a trend far below the national trend in the escalation of health-care costs in this year.,massachusetts is reporting a trend far below the national trend in the escalation of healthcare costs in this year,0,0
true,Initial efforts to strip airport contractors of their special diversity status has no effect on the contracts or the citys diversity goals.,initial efforts to strip airport contractors of their special diversity status has no effect on the contracts or the citys diversity goals,5,1
true,More women were killed by their husbands or boyfriends since Sept. 11 than all the Americans who were killed by 9/11 or in Afghanistan and Iraq.,more women were killed by their husbands or boyfriends since sept  than all the americans who were killed by  or in afghanistan and iraq,5,1
pants-fire,"While states used to have regulatory power over fishing, federal law now regulates down to the tenth of the inch the minimum size of fish that anglers can keep.",while states used to have regulatory power over fishing federal law now regulates down to the tenth of the inch the minimum size of fish that anglers can keep,4,0
barely-true,Social Security took seven years before anybody got the first check.,social security took seven years before anybody got the first check,0,0
false,"In most Muslim countries, We cant have a church. Were not able to build synagogues. Its forbidden.",in most muslim countries we cant have a church were not able to build synagogues its forbidden,1,0
barely-true,Says Barack Obama told the U.S. Coast Guard Academy that the number one threat to the military and the world today is global warming.,says barack obama told the us coast guard academy that the number one threat to the military and the world today is global warming,0,0
false,Says award-winning Milwaukee Public Schools teacher Megan Sampson was laid off because Gov. Scott Walker cut state aid to education.,says awardwinning milwaukee public schools teacher megan sampson was laid off because gov scott walker cut state aid to education,1,0
half-true,Says Marshawn Lynch is second all-time in terms of average yards per rush only to Terrell Davis.,says marshawn lynch is second alltime in terms of average yards per rush only to terrell davis,2,1
half-true,"When housing and transportation costs are combined, Atlantas cost of living -- typically perceived as relatively low -- ranks as 7th worst out of 51 metros nationally.",when housing and transportation costs are combined atlantas cost of living  typically perceived as relatively low  ranks as th worst out of  metros nationally,2,1
half-true,"Over the last 10 years, Georgias public health has declined.",over the last  years georgias public health has declined,2,1
half-true,"At his fathers bank, Alexi made tens of millions in risky loans to convicted mobsters. Then, the bank collapsed.",at his fathers bank alexi made tens of millions in risky loans to convicted mobsters then the bank collapsed,2,1
mostly-true,"North Carolina spends $855 less per student than it did before the Great Recession, and we have one of the lowest per pupil spending levels in the nation.",north carolina spends  less per student than it did before the great recession and we have one of the lowest per pupil spending levels in the nation,3,1
barely-true,The fact is 90-percent of Down Syndrome children were aborted in this country.,the fact is percent of down syndrome children were aborted in this country,0,0
mostly-true,"Over the past 35 years, Florida families have paid into the (National Flood Insurance Program) over $16 billion, four times more than the amount they have received in claim reimbursements.",over the past  years florida families have paid into the national flood insurance program over  billion four times more than the amount they have received in claim reimbursements,3,1
false,"Says President Barack Obama said when we got bin Laden, terrorism problem solved.",says president barack obama said when we got bin laden terrorism problem solved,1,0
half-true,Every year there is a slightly smaller percentage of American households owning guns.,every year there is a slightly smaller percentage of american households owning guns,2,1
half-true,A World Health Organization report shows that more people are dying of TB.,a world health organization report shows that more people are dying of tb,2,1
half-true,"More than a quarter of mortgage borrowers are underwater, and 11 percent of all homes are vacant.",more than a quarter of mortgage borrowers are underwater and  percent of all homes are vacant,2,1
mostly-true,"Paul Ryans budget keeps the Obamacare taxes and spending cuts that paid for Obamacare, but then cuts all of the benefits.",paul ryans budget keeps the obamacare taxes and spending cuts that paid for obamacare but then cuts all of the benefits,3,1
mostly-true,"Agriculture contributes $71 billion to Georgias economy annually, making it the states largest industry.",agriculture contributes  billion to georgias economy annually making it the states largest industry,3,1
barely-true,If Gov. Romneys plan goes into effect the average senior would have to pay $460 a year more in tax for their Social Security.,if gov romneys plan goes into effect the average senior would have to pay  a year more in tax for their social security,0,0
true,"Says Lloyd Doggett voted for the health care, stimulus and cap-and-trade bills.",says lloyd doggett voted for the health care stimulus and capandtrade bills,5,1
half-true,"Twenty four states have voter ID or comparable restrictions; before Barack Obama was elected, it was two.",twenty four states have voter id or comparable restrictions before barack obama was elected it was two,2,1
half-true,On timing of right to work legislation,on timing of right to work legislation,2,1
pants-fire,President Obamas refusal to grant permits for offshore drilling is one reason gasoline prices are soaring.,president obamas refusal to grant permits for offshore drilling is one reason gasoline prices are soaring,4,0
false,On whether Barack Obama was born in the United States.,on whether barack obama was born in the united states,1,0
true,"The merger of Georgia State University and Georgia Perimeter College will make GSU one of the largest universities in the nation, with more than 54,000 students.",the merger of georgia state university and georgia perimeter college will make gsu one of the largest universities in the nation with more than  students,5,1
barely-true,Says Hillary Clinton savaged the dignity of people who accused Bill Clinton of sexual harassment or assault and shamed them.,says hillary clinton savaged the dignity of people who accused bill clinton of sexual harassment or assault and shamed them,0,0
barely-true,"In Florida, we have the lowest in-state tuition of any state.",in florida we have the lowest instate tuition of any state,0,0
pants-fire,"In Japan, permanent residency is not given to Muslims, the propagation of Islam is banned, one cannot import a Koran published in the Arabic language, and Muslims cannot even rent a house.",in japan permanent residency is not given to muslims the propagation of islam is banned one cannot import a koran published in the arabic language and muslims cannot even rent a house,4,0
mostly-true,"Despite touting the economic stimulus as a great triumph, ""The very same report, however, notes that unemployment will average 10 percent for the rest of the year.""",despite touting the economic stimulus as a great triumph the very same report however notes that unemployment will average  percent for the rest of the year,3,1
mostly-true,Pasco County has the second highest population of homeless in all of Florida.,pasco county has the second highest population of homeless in all of florida,3,1
barely-true,Says his Twitter account has 1.3 million followers.,says his twitter account has  million followers,0,0
false,"You are three times more likely to be able to get a mortgage if youre a white applicant than if youre black or Hispanic, even if you have the same credentials.",you are three times more likely to be able to get a mortgage if youre a white applicant than if youre black or hispanic even if you have the same credentials,1,0
barely-true,"For six years, I served our community as a conservative state legislator. In every one of those years, I helped balance the state's budget.",for six years i served our community as a conservative state legislator in every one of those years i helped balance the states budget,0,0
mostly-true,The richest 1 percent of America will get a bigger tax cut through this bill than the family income of the average family here in Central Texas.,the richest  percent of america will get a bigger tax cut through this bill than the family income of the average family here in central texas,3,1
mostly-true,"Says President Barack Obama gives students the right to repay (federal) loans as a clear, fixed, low percentage of their income for up to 20 years.",says president barack obama gives students the right to repay federal loans as a clear fixed low percentage of their income for up to  years,3,1
barely-true,"Since the beginning of the economic downturn in FY 2008, the state workforce has been reduced by 12.4 percent as part of overall cost savings measures to balance the budget to reduce revenues.",since the beginning of the economic downturn in fy  the state workforce has been reduced by  percent as part of overall cost savings measures to balance the budget to reduce revenues,0,0
mostly-true,The United States already has the highest corporate tax rate in the world.,the united states already has the highest corporate tax rate in the world,3,1
half-true,About 22 percent of adults in Rhode Island and approximately 30 percent of youth (ages 10-17) are considered obese.,about  percent of adults in rhode island and approximately  percent of youth ages  are considered obese,2,1
barely-true,Last year (the U.S. womens soccer team) generated $20 million more than the mens team and were paid almost four times less.,last year the us womens soccer team generated  million more than the mens team and were paid almost four times less,0,0
true,America is No. 1one in oil and gas.,america is no one in oil and gas,5,1
false,Almost 95 percent of all (Planned Parenthood) pregnancy services were abortions.,almost  percent of all planned parenthood pregnancy services were abortions,1,0
false,There was no panhandling when I left office.,there was no panhandling when i left office,1,0
mostly-true,The Republican Party raffled off an AR-15 assault rifle at the 2010 Oregon State Fair.,the republican party raffled off an ar assault rifle at the  oregon state fair,3,1
half-true,The number of killings of citizens by police is at a two-decade high.,the number of killings of citizens by police is at a twodecade high,2,1
false,"During the 2005 fight over Social Security, there were noisy demonstrations but they were outside the events, and opponents were not disruptive crowds booed lines they didnt like, but that was about it.",during the  fight over social security there were noisy demonstrations but they were outside the events and opponents were not disruptive crowds booed lines they didnt like but that was about it,1,0
true,"There are 7,000 kids in New Hampshire who have health care because I helped to create the Children's Health Insurance Program.",there are  kids in new hampshire who have health care because i helped to create the childrens health insurance program,5,1
false,"Georgia Secretary of State Brian Kemp is a ""career politician.""",georgia secretary of state brian kemp is a career politician,1,0
half-true,"A new Rasmussen poll shows people ""oppose (Sotomayor's) confirmation. Only 37 percent support it.""",a new rasmussen poll shows people oppose sotomayors confirmation only  percent support it,2,1
mostly-true,"We had 6,000 oil and gas spills in 2012 with more oil and gas spreading in the United States than the entire Exxon Valdez spill.",we had  oil and gas spills in  with more oil and gas spreading in the united states than the entire exxon valdez spill,3,1
true,Says states that passed anti-illegal-immigrant legislation also had few Hispanic legislators.,says states that passed antiillegalimmigrant legislation also had few hispanic legislators,5,1
half-true,President Barack Obama (is) the first president in history to cut Medicare by $700 billion.,president barack obama is the first president in history to cut medicare by  billion,2,1
false,Expanding Medicaid will worsen health care options for the most vulnerable among us in Texas.,expanding medicaid will worsen health care options for the most vulnerable among us in texas,1,0
false,We have unemployment that rivals the Great Depression.,we have unemployment that rivals the great depression,1,0
false,"Sen. McCain would occupy Iraq indefinitely, against their wishes.",sen mccain would occupy iraq indefinitely against their wishes,1,0
half-true,"Says scientists predict sometime in the future, an event that will kill somewhere between 80 and 90 million people.",says scientists predict sometime in the future an event that will kill somewhere between  and  million people,2,1
true,"Since 2008, U.S. crude oil output has increased by over 80 percent, an increase of over 4 million barrels a day. That is the fastest increase in U.S. history.",since  us crude oil output has increased by over  percent an increase of over  million barrels a day that is the fastest increase in us history,5,1
half-true,Says Missouri needs a voter I.D. law because theres over 16 people in the state of Missouri who have been convicted of some type of voter fraud.,says missouri needs a voter id law because theres over  people in the state of missouri who have been convicted of some type of voter fraud,2,1
true,The actual deportations from the interior of the country are way down under President Obama.,the actual deportations from the interior of the country are way down under president obama,5,1
mostly-true,Says businesses already pay most of the taxes.,says businesses already pay most of the taxes,3,1
pants-fire,President Obamas health care law represents a government takeover of health care.,president obamas health care law represents a government takeover of health care,4,0
mostly-true,"On taxes, President Barack Obama wants to raise the top rate to 44.8 percent.",on taxes president barack obama wants to raise the top rate to  percent,3,1
half-true,"Since the Fed was created in 1913, the U.S. Dollar has lost 98% of its purchasing power.",since the fed was created in  the us dollar has lost  of its purchasing power,2,1
half-true,"Says Milwaukee blacks have 55 percent male unemployment, 60 percent truancy, a 50 percent graduation rate, the worst reading scores and lead in infant mortality.",says milwaukee blacks have  percent male unemployment  percent truancy a  percent graduation rate the worst reading scores and lead in infant mortality,2,1
half-true,"The health care law was a 2,733-page bill! . . . No amendments!",the health care law was a page bill    no amendments,2,1
half-true,"The Obama administration estimates the number of children at the border is going to increase to 150,000 to 200,000 next year.",the obama administration estimates the number of children at the border is going to increase to  to  next year,2,1
false,Says Texas economy is about 30 percent larger than Australias.,says texas economy is about  percent larger than australias,1,0
true,Hair stylists are required to undergo more government scrutiny than foreclosure consultants.,hair stylists are required to undergo more government scrutiny than foreclosure consultants,5,1
false,"Ninety percent of the people who work in this country work for companies under 100 people, maybe even less than that.",ninety percent of the people who work in this country work for companies under  people maybe even less than that,1,0
true,"Thirty-four percent of Hispanics don't have any health care at all, don't have any health insurance.",thirtyfour percent of hispanics dont have any health care at all dont have any health insurance,5,1
true,Says wrestling was a favorite sport of Abraham Lincoln.,says wrestling was a favorite sport of abraham lincoln,5,1
false,"The Obama administrations cap-and-trade plan would create a $1,761 yearly energy tax.",the obama administrations capandtrade plan would create a  yearly energy tax,1,0
half-true,Regime change (in Iraq) took eight years,regime change in iraq took eight years,2,1
mostly-true,Women of childbearing age spend 68 percent more in out-of-pocket health care costs than men.,women of childbearing age spend  percent more in outofpocket health care costs than men,3,1
false,"Says Hillary Clintons plan would bring in 620,000 refugees in her first term, alone, with no effective way to screen or vet them. Her plan would cost $400 billion in terms of lifetime welfare and entitlement costs.",says hillary clintons plan would bring in  refugees in her first term alone with no effective way to screen or vet them her plan would cost  billion in terms of lifetime welfare and entitlement costs,1,0
mostly-true,Weve seen property taxes go down for the first time in 12 years on a median valued home.,weve seen property taxes go down for the first time in  years on a median valued home,3,1
false,Rhode Island is leading our nation in foreclosures.,rhode island is leading our nation in foreclosures,1,0
false,President Obamas health-care law will add trillions of dollars in debt.,president obamas healthcare law will add trillions of dollars in debt,1,0
pants-fire,About 47 percent of able-bodied people in the state of Maine dont work.,about  percent of ablebodied people in the state of maine dont work,4,0
true,"When these [undocumented] students graduate from college, theyre still illegal aliens. They cannot get a job.",when these undocumented students graduate from college theyre still illegal aliens they cannot get a job,5,1
mostly-true,Women receive only 77 cents for every dollar a man earns.,women receive only  cents for every dollar a man earns,3,1
true,"Research performed by economists has shown no consistent, positive impact on jobs, income or tax revenues arising from stadiums or sports franchises.",research performed by economists has shown no consistent positive impact on jobs income or tax revenues arising from stadiums or sports franchises,5,1
pants-fire,"My ""border security efforts have led to a 60 percent decrease in border crime.""",my border security efforts have led to a  percent decrease in border crime,4,0
false,"Says when I voted against [an increase in the minimum wage], it was in the 80s.",says when i voted against an increase in the minimum wage it was in the s,1,0
pants-fire,Says that Rep. Betty Sutton would rather riot with Occupy (Wall Street) than stand up for Ohio families.,says that rep betty sutton would rather riot with occupy wall street than stand up for ohio families,4,0
half-true,We spend $18 billion a year on making sure that the federal government has immigrant enforcement agents. Thats more than DEA and the ATF and the FBI and all the other enforcement (agencies) combined.,we spend  billion a year on making sure that the federal government has immigrant enforcement agents thats more than dea and the atf and the fbi and all the other enforcement agencies combined,2,1
mostly-true,Forty-five percent of Americans went without needed care because of costs in 2007.,fortyfive percent of americans went without needed care because of costs in,3,1
half-true,"Lyme disease is one of the fastest growing infectious diseases in the United States, and Rhode Island has the second-highest incidence of this disease in the country.",lyme disease is one of the fastest growing infectious diseases in the united states and rhode island has the secondhighest incidence of this disease in the country,2,1
mostly-true,"Says President Barack Obama initially said the national health-care mandate isnt a tax, but his administration now says it is a tax.",says president barack obama initially said the national healthcare mandate isnt a tax but his administration now says it is a tax,3,1
half-true,There are still more people uninsured today than when Obama was elected president.,there are still more people uninsured today than when obama was elected president,2,1
true,The federal government owns tens of thousands of properties that are vacant or underused.,the federal government owns tens of thousands of properties that are vacant or underused,5,1
false,Says her representation of an ex-boyfriend who was then my friend in a family law case is something that lawyers do on a regular basis.,says her representation of an exboyfriend who was then my friend in a family law case is something that lawyers do on a regular basis,1,0
barely-true,You dont know if this (the H1N1 vaccine) is gonna cause neurological damage like it did in the 1970s.,you dont know if this the hn vaccine is gonna cause neurological damage like it did in the s,0,0
false,You cant pass a budget in the Senate of the United States without 60 votes.,you cant pass a budget in the senate of the united states without  votes,1,0
true,"Hillary Clinton advocates ""a freeze on foreclosures. Barack Obama said no.""",hillary clinton advocates a freeze on foreclosures barack obama said no,5,1
true,Our pension system is the only one in the country thats 100 percent funded.,our pension system is the only one in the country thats  percent funded,5,1
mostly-true,We have the lowest percentage of Americans working today of any year since 1977.,we have the lowest percentage of americans working today of any year since,3,1
false,"In 2010, everybody said you cant dare let guns go into the national parks, and of course the rapes, murders, robberies and assaults are down about 85 percent since we did that.",in  everybody said you cant dare let guns go into the national parks and of course the rapes murders robberies and assaults are down about  percent since we did that,1,0
true,Newt Gingrich has been a proponent of selecting a president by popular vote instead of the Electoral College.,newt gingrich has been a proponent of selecting a president by popular vote instead of the electoral college,5,1
false,"Barack Obama said ""he's going to attack Pakistan and embrace (Iranian President Mahmoud) Ahmadinejad.""",barack obama said hes going to attack pakistan and embrace iranian president mahmoud ahmadinejad,1,0
mostly-true,Every 1 percent increase in the number of Ohioans with bachelors degrees means economic activity growing the next year and for each year thereafter (by) $2.5 billion dollars.,every  percent increase in the number of ohioans with bachelors degrees means economic activity growing the next year and for each year thereafter by  billion dollars,3,1
true,"Says, Since 1994 when VAWA was first passed, incidents of domestic violence have dropped more than 50 percent.",says since  when vawa was first passed incidents of domestic violence have dropped more than  percent,5,1
half-true,Illegal aliens are costing Georgia taxpayers over a billion dollars every year.,illegal aliens are costing georgia taxpayers over a billion dollars every year,2,1
false,Says Gerald Daugherty is endorsed by the Austin American-Statesman.,says gerald daugherty is endorsed by the austin americanstatesman,1,0
false,"Under Cuccinellis tax cut plan, school divisions across Virginia could be forced to fire over 8,000 teachers.",under cuccinellis tax cut plan school divisions across virginia could be forced to fire over  teachers,1,0
half-true,There are 3 million jobs available in America that are not filled because too many of our people dont have the skills for those jobs.,there are  million jobs available in america that are not filled because too many of our people dont have the skills for those jobs,2,1
barely-true,"Rhode Island has invested less in tourism, economic development and economic development personnel than four nearby states.",rhode island has invested less in tourism economic development and economic development personnel than four nearby states,0,0
half-true,President Obama has said he is going to cut veterans benefits.,president obama has said he is going to cut veterans benefits,2,1
half-true,Says Scott Walker is forcing some women to undergo a transvaginal probe to get an abortion.,says scott walker is forcing some women to undergo a transvaginal probe to get an abortion,2,1
mostly-true,Ninety percent of American workers dont own their own business.,ninety percent of american workers dont own their own business,3,1
pants-fire,Protesters caused $7.5 million in damage to the Wisconsin State House,protesters caused  million in damage to the wisconsin state house,4,0
false,The insurance industry is actually run by mostly Democrats.,the insurance industry is actually run by mostly democrats,1,0
half-true,"Says a 9-year-old girl was recently raped in Austin, Texas, by a guy previously caught four times and released.",says a yearold girl was recently raped in austin texas by a guy previously caught four times and released,2,1
half-true,"In a period of roughly 72 hours, a small group of angry black students managed to force the resignation of the two highest ranking officials at that school.",in a period of roughly  hours a small group of angry black students managed to force the resignation of the two highest ranking officials at that school,2,1
barely-true,Weve doubled our use of renewable energy.,weve doubled our use of renewable energy,0,0
mostly-true,"Over the last 30 years, extreme poverty has been cut in half.",over the last  years extreme poverty has been cut in half,3,1
barely-true,"In 2009, his first year as mayor, Julin Castro received a seven-figure referral fee that smells like a dirty financial gift from notorious personal injury lawyer Mikal Watts, a major Obama donor.",in  his first year as mayor julin castro received a sevenfigure referral fee that smells like a dirty financial gift from notorious personal injury lawyer mikal watts a major obama donor,0,0
mostly-true,"House Republican plan would increase costs for Oregon seniors by $6,000 with health care vouchers instead of Medicare",house republican plan would increase costs for oregon seniors by  with health care vouchers instead of medicare,3,1
mostly-true,"Our own National Security Agency says that (Iran's) nuclear ambitions are advancing, and at the same time ... we are slashing our own nuclear arsenal.",our own national security agency says that irans nuclear ambitions are advancing and at the same time  we are slashing our own nuclear arsenal,3,1
barely-true,"In the recent House special election in Florida, Democrats got outspent in a Republican district.",in the recent house special election in florida democrats got outspent in a republican district,0,0
mostly-true,Says a growing number of extremely premature babies survive into healthy childhood.,says a growing number of extremely premature babies survive into healthy childhood,3,1
barely-true,"When mentioning Villanovas buzzer-beating win in the national championships, Hillary Clinton said: I love those come-from-behind victories.",when mentioning villanovas buzzerbeating win in the national championships hillary clinton said i love those comefrombehind victories,0,0
half-true,"By 2014, there will be one administrator for every teacher on college campuses in the United States.",by  there will be one administrator for every teacher on college campuses in the united states,2,1
false,"Says as we sit right now, Medicare, if we do nothing, will be gone in eight years, if we do nothing to it.",says as we sit right now medicare if we do nothing will be gone in eight years if we do nothing to it,1,0
